date,AAPL,XOM,JPM,WMT,PFE,AMZN,BAC,T
2024-09-23,224.591263,110.074417,202.914337,78.890076,25.593307,193.880005,38.140301,19.602152
2024-09-24,225.483765,109.783653,203.058289,79.223991,25.759214,193.960007,37.738533,19.693373
2024-09-25,224.492081,107.645187,201.714737,79.940903,25.261496,192.529999,37.547199,19.666006
2024-09-26,225.632538,105.797501,201.321274,78.487434,25.296425,191.160004,37.805489,19.748098
2024-09-27,225.900299,108.630013,202.012238,78.349945,25.401203,187.970001,37.690697,19.976139
2024-09-30,231.067078,109.943100,202.357712,79.302574,25.270226,186.330002,37.958549,20.067350
2024-10-01,224.333389,112.484879,198.691727,79.813240,25.034464,185.130005,37.518501,20.185930
2024-10-02,224.898666,113.976166,198.931656,78.988304,24.982073,184.759995,37.528072,20.240662
2024-10-03,223.797897,114.970367,196.954712,78.988304,24.746307,181.960007,37.547199,20.112961
2024-10-04,224.918518,117.080696,203.945374,79.489143,24.955875,186.509995,38.369892,19.985258
2024-10-07,219.850906,117.587173,203.665359,77.682137,25.497255,180.800003,38.226398,19.866680
2024-10-08,223.897049,114.463890,203.491562,78.281197,25.479794,182.720001,38.197701,19.939650
2024-10-09,227.635757,114.510780,206.069611,78.958832,26.361719,185.169998,38.446423,20.003504
2024-10-10,227.139938,115.495590,205.509552,78.182999,25.619503,186.649994,38.235962,19.604391
2024-10-11,225.662308,115.936424,214.634079,78.664200,25.462328,188.820007,40.130066,19.742971
2024-10-14,229.381195,116.377251,213.852020,78.850807,25.392471,187.539993,40.091801,19.641348
2024-10-15,231.910065,112.878799,214.730667,80.186424,25.706821,187.690002,40.311817,19.872313
2024-10-16,229.857193,113.169556,215.937622,79.764137,25.907658,186.889999,40.943192,20.057087
2024-10-17,230.224136,112.878799,216.690750,79.440048,25.558380,187.529999,40.751865,20.075562
2024-10-18,233.050491,112.559898,217.608032,79.852524,25.514719,188.990005,40.484016,20.186428
2024-10-21,234.518204,112.625572,215.319656,79.361488,25.261496,189.070007,39.948303,20.010891
2024-10-22,233.903336,113.207069,216.401062,80.549789,25.182907,189.699997,40.464882,19.863073
